Activity Label,Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Training Run,Running,2024-10-07 08:15:35,false,"Charlottesville Running","9.35","1,075","01:03:10","153","170","3.9","152","205","6:45","4:07","512","522","1.56","7.8","12.0","272","6:44","426","0.0","420","645","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:03:10","1","84.2","--","--","--","01:03:02","01:09:20","440","602"
Long Run,Running,2024-10-06 09:43:47,false,"Albemarle County Running","14.06","1,444","01:25:01","151","167","4.1","155","167","6:03","5:25","961","942","1.71","7.2","12.3","252","6:00","478","0.0","469","672","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:25:01","1","86.0","35","20","44","01:24:56","01:28:07","602","877"
Recovery,Running,2024-10-05 13:45:02,false,"Charlottesville Running","5.96","673","00:43:59","142","158","2.8","150","167","7:23","6:38","259","269","1.44","8.1","11.8","284","7:22","392","0.0","386","562","NaN","NaN","--","NaN","NaN","NaN","84.2","No","00:43:59","1","93.2","--","--","--","00:43:53","00:54:43","497","606"
Double,Running,2024-10-04 16:25:26,false,"Charlottesville Running","5.01","538","00:30:18","156","172","3.4","154","165","6:03","5:15","207","194","1.72","7.2","12.4","253","6:02","471","0.0","465","647","NaN","NaN","--","NaN","NaN","NaN","84.2","No","00:30:18","1","87.8","--","--","--","00:30:12","00:31:54","493","594"
WU/CD,Running,2024-10-04 09:40:25,false,"Albemarle County Running","2.02","231","00:14:46","139","150","2.2","150","167","7:19","6:13","92","112","1.46","8.1","11.8","281","7:16","396","0.0","389","520","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:14:46","1","82.4","--","--","--","00:14:45","00:15:14","541","613"
Workout,Running,2024-10-04 08:45:34,false,"Albemarle County Running","7.01","735","00:36:42","173","182","4.5","158","169","5:14","4:26","558","568","1.94","6.4","12.5","233","5:10","532","0.0","518","754","NaN","NaN","--","NaN","NaN","NaN","73.4","No","00:36:42","1","82.4","40","31","48","00:36:40","00:36:42","484","578"
WU/CD,Running,2024-10-04 08:10:24,false,"Charlottesville Running","2.02","216","00:14:07","133","144","2.3","152","167","7:00","6:18","138","154","1.52","7.9","12.0","275","6:56","418","0.0","408","579","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:14:07","1","80.6","--","--","--","00:14:04","00:14:42","514","609"
Training Run,Running,2024-10-03 06:45:49,false,"Charlottesville Running","8.47","923","01:02:15","135","148","3.1","150","236","7:21","6:31","479","308","1.45","8.1","11.8","284","7:17","395","0.0","390","534","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:02:15","1","82.4","--","--","--","01:02:10","01:14:20","369","576"
Trianing Run,Running,2024-10-02 08:51:42,false,"Charlottesville Running","9.97","1,082","01:06:27","146","164","3.6","151","167","6:40","5:38","620","604","1.58","7.7","12.2","270","6:37","434","0.0","428","606","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:06:27","1","82.4","--","--","--","01:06:18","01:10:46","365","604"
Double,Running,2024-10-01 18:13:11,false,"Charlottesville Running","5.43","565","00:34:09","146","165","3.2","150","170","6:17","4:13","299","361","1.67","7.4","12.4","262","6:19","453","0.0","445","635","NaN","NaN","--","NaN","NaN","NaN","73.4","No","00:34:09","1","80.6","--","--","--","00:34:01","00:36:52","436","592"
Workout,Running,2024-10-01 07:38:42,false,"Charlottesville Running","11.05","1,197","01:08:40","157","186","4.4","148","240","6:13","4:16","213","243","1.73","7.1","11.9","259","6:12","460","0.0","432","627","NaN","NaN","--","NaN","NaN","NaN","73.4","No","00:01:03.1","15","80.6","37","21","47","01:07:09","01:36:24","494","568"
Training Run,Treadmill Running,2024-09-30 08:04:21,false,"Treadmill Running","9.00","870","00:57:00","142","154","3.1","146","167","6:20","4:51","--","--","1.47","8.3","12.2","298","--","367","0.0","362","545","NaN","NaN","--","NaN","NaN","NaN","--","No","00:57:00","1","NaN","32","21","40","00:56:19","01:04:36","--","--"
Long Run,Running,2024-09-29 09:48:36,false,"Albemarle County Running","14.01","1,524","01:26:44","159","171","4.4","154","167","6:12","4:50","945","961","1.68","7.3","12.3","257","6:08","476","0.0","467","663","NaN","NaN","--","NaN","NaN","NaN","78.8","No","01:26:44","1","86.0","36","22","48","01:26:41","01:33:07","621","873"
WU/CD,Running,2024-09-27 12:17:01,false,"Madison Running","2.45","304","00:19:02","148","159","2.5","146","156","7:46","6:25","151","148","1.42","8.3","11.7","290","7:41","379","0.0","370","513","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:19:02","1","86.0","--","--","--","00:18:48","00:22:06","1,032","1,115"
WU/CD,Running,2024-09-27 10:46:53,false,"Madison Running","2.55","261","00:17:14","132","177","2.3","150","188","6:45","4:00","138","118","1.57","7.8","12.1","276","6:44","434","0.0","428","686","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:03:16.1","2","82.4","--","--","--","00:17:11","00:30:00","1,037","1,117"
Shakeout,Running,2024-09-27 07:46:14,false,"Madison Running","1.35","138","00:10:00","123","138","1.5","146","161","7:25","5:10","39","26","1.48","8.1","11.9","282","7:24","389","0.0","387","546","NaN","NaN","--","NaN","NaN","NaN","73.4","No","00:10:00","1","82.4","--","--","--","00:09:52","00:12:06","865","903"
Training Run,Running,2024-09-26 11:14:53,false,"Madison Running","5.04","547","00:33:44","141","164","3.1","152","167","6:41","5:46","289","295","1.58","7.7","12.2","271","6:39","433","0.0","428","593","NaN","NaN","--","NaN","NaN","NaN","82.4","No","00:33:44","1","89.6","--","--","--","00:33:41","00:34:27","1,056","1,144"
Training Run,Running,2024-09-25 15:12:06,false,"Oregon Running","8.02","792","00:52:46","132","155","3.1","149","161","6:35","6:04","118","118","1.64","7.7","12.7","278","6:36","431","0.0","430","482","NaN","NaN","--","NaN","NaN","NaN","77.0","No","00:52:46","1","86.0","--","--","--","00:52:45","00:54:16","885","1,010"
Double,Running,2024-09-24 14:20:54,false,"Charlottesville Running","4.00","426","00:28:52","131","144","2.5","147","170","7:13","6:07","217","240","1.49","8.1","12.0","285","7:13","399","0.0","391","623","NaN","NaN","--","NaN","NaN","NaN","73.4","No","00:28:52","1","82.4","--","--","--","00:28:46","00:30:05","385","563"
Workout,Running,2024-09-24 07:35:41,false,"Charlottesville Running","8.14","785","00:51:34","138","163","3.1","152","184","6:20","4:14","157","154","1.65","7.4","11.8","270","6:20","444","0.0","427","634","NaN","NaN","--","NaN","NaN","NaN","71.6","No","00:01:01.3","15","80.6","--","--","--","00:51:26","01:12:38","538","573"
Training Run,Running,2024-09-23 08:14:21,false,"Charlottesville Running","9.17","1,025","01:02:01","148","165","3.6","151","171","6:46","5:22","351","351","1.57","7.8","12.2","274","6:44","428","0.0","423","599","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:02:01","1","82.4","--","--","--","01:01:58","01:05:01","303","413"
Long Run,Running,2024-09-22 09:52:38,false,"Louisa County Running","12.03","1,219","01:20:51","135","155","3.3","150","167","6:43","5:21","499","486","1.59","7.8","12.3","276","6:42","429","0.0","425","579","NaN","NaN","--","NaN","NaN","NaN","78.8","No","01:20:51","1","84.2","--","--","--","01:20:48","01:26:43","346","490"
Training Run,Running,2024-09-21 10:34:48,false,"Charlottesville Running","5.51","581","00:38:17","136","153","2.8","147","172","6:57","6:12","243","226","1.56","7.9","12.4","284","6:58","415","0.0","411","539","NaN","NaN","--","NaN","NaN","NaN","80.6","No","00:38:17","1","89.6","--","--","--","00:38:10","00:40:47","505","583"
Double,Running,2024-09-20 16:13:14,false,"Charlottesville Running","4.01","443","00:28:03","140","149","2.7","149","161","7:00","5:56","194","200","1.54","7.9","12.2","281","6:59","414","0.0","409","552","NaN","NaN","--","NaN","NaN","NaN","86.0","No","00:28:03","1","95.0","--","--","--","00:28:00","00:28:32","501","598"
Workout,Running,2024-09-20 08:04:14,false,"Albemarle County Running","10.06","1,062","01:03:04","153","184","3.8","148","214","6:16","3:59","486","495","1.72","7.2","12.0","259","6:15","460","0.0","434","709","NaN","NaN","--","NaN","NaN","NaN","71.6","No","00:00:02.5","10","87.8","33","16","45","01:01:19","01:38:56","453","520"
Training Run,Running,2024-09-19 09:10:15,false,"Charlottesville Running","9.53","981","01:02:55","140","160","3.3","146","191","6:36","3:44","400","397","1.62","7.7","12.4","276","6:40","425","0.0","422","715","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:01:03.1","2","86.0","--","--","--","01:02:40","01:16:15","417","557"
Training Run,Running,2024-09-18 10:52:51,false,"Charlottesville Running","11.52","1,239","01:16:26","143","162","3.6","149","167","6:38","4:54","748","758","1.62","7.7","12.5","276","6:35","442","0.0","436","708","NaN","NaN","--","NaN","NaN","NaN","78.8","No","01:16:26","1","84.2","--","--","--","01:16:20","01:25:27","424","599"
Workout,Running,2024-09-17 07:34:29,false,"Charlottesville Running","10.54","1,137","01:03:21","159","180","4.4","154","167","6:01","4:40","236","217","1.73","7.1","12.1","256","5:59","473","0.0","461","605","NaN","NaN","--","NaN","NaN","NaN","71.6","No","00:01:00.6","17","82.4","--","--","--","01:03:09","01:26:37","532","575"
